CODE_BARRES	NOM_COMMERCIAL	PRINCIPE_ACTIF	DOSAGE	EQUIVALENTS
6118001240111	KETALGIC LP 200 MG	KETOPROFENE	200 MG	KETALGIC LP 200 MG [6118010117862] | ORUVAIL [6118000130222] | PROFENID LP [6118000060826]
6118001240128	OPAVIR	ENTECAVIR	0.5 MG	BARACLUDE [6118001183371] | BARACLUDE [6118010115882]
6118001240135	OPAVIR	ENTECAVIR	1 MG	BARACLUDE [6118001183388] | BARACLUDE [6118010115905]
6118001240241	KETIPINOR QUETIAPINE COMPRIME PELLICULE LP à		400 MG	
6118001250011	AERRANE	ISOFLURANE	100 %	AERRANE [6118001250028] | AERRANE [6118010019166] | AERRANE [6118010019173]
6118001250028	AERRANE	ISOFLURANE	100 %	AERRANE [6118001250011] | AERRANE [6118010019166] | AERRANE [6118010019173]
6118001250035	ANZATAX	PACLITAXEL	30 MG	ACUPAXIL-30 [6118001270880] | ACUPAXIL-30 [6118010120732] | ANZATAX [6118010019265] | AZANTAX [6118010118258] | EBETAXEL [6118001200443] | OKA-PACLITAXEL [6118001150878] | PACLITAXEL COOPER [6118001101009] | PACLITAXEL MYLAN PHARMA 30 MG/5ML [6118001021345] | PACLITAXEL PHARMACHEMIE 6MG/ML [6118001230303] | PAXEL [6118001000029] | TAXOL [6118001182770]
6118001250042	ANZATAX	PACLITAXEL	150 MG	ANZATAX [6118010019272] | AZANTAX [6118010118265] | EBETAXEL [6118001200429] | PACLITAXEL PHARMACHEMIE 6MG/ML [6118001230631]
6118001250059	AVIRO-Z	ZIDOVUDINE	300 MG	AVIRO-Z [6118010019296]
6118001250066	AVIRODIN	INDINAVIR	400 MG	AVIRODIN [6118010019289] | CRIXIVAN [6118001160105]
6118001250073	AVOCOMB	LAMIVUDINE / ZIDOVUDINE	150 / 300 MG / MG	AVOCOMB [6118010019302] | COMBIVIR [6118000140213] | COMBIVIR [6118001140213] | DUOVIR [6118001100743]
6118001250080	AVOLAM	LAMIVUDINE	150 MG	AVOLAM [6118010019319] | EPIVIR [6118000140275] | EPIVIR [6118001140275] | LAMIVIR [6118001100965] | LAMIVIR [6118010007040]
6118001250097	AVOSTAV	STAVUDINE	30 MG	AVOSTAV [6118010019326] | ZERIT [6118001182794]
6118001250103	AVOSTAV	STAVUDINE	40 MG	AVOSTAV [6118010019333] | ZERIT [6118001182800]
6118001250110	BUDENA	BUDESONIDE	200 µG	PULMICORT [6118001020683] | PULMICORT TURBUHALER [6118001020676]
6118001250127	BUDENA	BUDESONIDE	100 µG	AEROMAX [6118001110360] | BUDENA [6118010025846]
6118001250134	CARBOPLATINE DBL	CARBOPLATINE	50 MG	CARBOPLATINE AGUETTANT 50 MG [6118001230112] | CARBOPLATINE DBL [6118010019524] | CARBOPLATINE MYLAN [6118001020072] | PARAPLATINE [6118001182725]
6118001250141	CARBOPLATINE DBL	CARBOPLATINE	150 MG	ACUCARB [6118001271283] | CARBOPLATINE AGUETTANT 150 MG [6118001230129] | CARBOPLATINE COOPER [6118001101306] | CARBOPLATINE COOPER [6118010000898] | CARBOPLATINE DBL [6118010019531] | CARBOPLATINE MYLAN [6118001020065] | OKA-CARBOPLATIN [6118001150816] | PARAPLATINE [6118001182718] | ZAREX [6118001000340]
6118001250158	CARBOPLATINE DBL	CARBOPLATINE	450 MG	ACUCARB [6118001271290] | CARBOPLATINE AGUETTANT 450 MG [6118001230136] | CARBOPLATINE COOPER [6118001101313] | CARBOPLATINE COOPER [6118010000904] | CARBOPLATINE DBL [6118010019548] | CARBOPLATINE MYLAN [6118001020058] | OKA-CARBOPLATIN [6118001150823] | PARAPLATINE [6118001182701] | ZAREX [6118001000357]
6118001250165	CICLOVIRAL	ACICLOVIR	250 MG	CICLOVIRAL [6118010000331] | ZOVIRAX [6118001141562]
6118001250172	CORONAT	CARVEDILOL	6.25 MG	CAPRESS [6118000440161] | CAPRESS [6118000440178] | CAPRESS [6118000440185] | CARDINOR [6118001101351] | CARDINOR [6118001101368] | CARDINOR [6118001101375] | CARDINOR [6118010000768] | CARDINOR [6118010000775] | CARDINOR [6118010000782] | CARDIX [6118000050551] | CARDIX [6118000050568] | CARDIX [6118010000072] | CARVEDILOL GT [6118001270255] | CARVEDILOL GT [6118001270262] | CORONAT [6118010019692] | DICARVEL [6118001272884] | DILATREND [6118001050086] | DILOVAC [6118000071570] | XEDILOL [6118000021766]
6118001250189	CORONAT	CARVEDILOL	25 MG	CAPRESS [6118000440192] | CAPRESS [6118000440208] | CAPRESS [6118000440215] | CARDINOR [6118001101320] | CARDINOR [6118001101337] | CARDINOR [6118001101344] | CARDINOR [6118010000799] | CARDINOR [6118010000805] | CARDINOR [6118010000812] | CARDIX [6118000050582] | CARVEDILOL GT [6118001270279] | CARVEDILOL GT [6118001270286] | CORONAT [6118010019708] | DICARVEL [6118001272891] | DILATREND [6118001050093] | DILOVAC [6118000071587] | XEDILOL [6118000021773]
6118001250196	CORTIVENT	BECLOMETASONE	50 µG	BECONASE [6118001140183] | CORTIVENT [6118010019715] | RINOCLENIL 50 MCG [6118001260119] | RINOCLENIL 50 MCG [6118010033391]
6118001250202	CORTIVENT	BECLOMETASONE	250 µG	AIRCORT [6118001100699] | BECLOJET [6118001260041] | CLENIL FORTE [6118000241201] | CORTIVENT [6118010019722]
6118001250219	CORTOFTAL	CLOBETASONE BUTYRATE	0.1 %	
6118001250226	CUSICROM	CROMOGLYCATE DE SODIUM	4 %	CUSICROM [6118001250233] | CUSICROM [6118010019753]
6118001250233	CUSICROM	CROMOGLYCATE DE SODIUM	4 %	CUSICROM [6118001250226] | CUSICROM [6118010019753]
6118001250240	CUSIMOLOL	TIMOLOL	0.25 %	CUSIMOLOL [6118010019777] | TIM-87 0,25 % [6118010025563] | TIM-87 0,25 % [6118010025570] | TIMABAK [6118001100675] | TIMO-COMOD [6118001110292] | TIMOLOL-POS [6118001110346] | TIMOPTOL [6118001160228]
6118001250257	CUSIMOLOL	TIMOLOL	0.5 %	CUSIMOLOL [6118010019760] | TIM-87 0,5 % [6118010025587] | TIM-87 0,5 % [6118010025594] | TIMABAK [6118001100682] | TIMO-COMOD [6118001110308] | TIMOLOL-POS [6118001110339] | TIMOPTOL [6118001160211] | TIMOPTOL LP [6118001160303]
6118001250264	CUSIVIRAL	ACICLOVIR	3 %	ZOVIRAX [6118001141579]
6118001250271	ELEBLOC	CARTEOLOL	1 %	CARTEOL [6118001270019] | CARTEOL LP [6118001270026] | ELEBLOC [6118010019814]
6118001250288	ELEBLOC	CARTEOLOL	2 %	CARTEOL [6118001270033] | CARTEOL LP [6118001270040] | ELEBLOC [6118010019821]
6118001250295	EUCARBON	CHARBON VEGETAL	NA	EUCARBON [6118001250301] | EUCARBON [6118010019838] | EUCARBON [6118010019845]
6118001250301	EUCARBON	CHARBON VEGETAL	NA	EUCARBON [6118001250295] | EUCARBON [6118010019838] | EUCARBON [6118010019845]
6118001250318	GENTAL	GENTAMICINE	0.3 %	GENTAL [6118010019876] | GENTAL [6118010019883] | GENTALLINE [6118001150809] | GENTAMICINE CHAUVIN COLLYRE [6118001270132] | GENTAMICINE POMMADE [6118001270163] | RIBOMICIN [6118010025150]
6118001250325	GENTADEXA	DEXAMETHASONE / GENTAMICINE	NA / NA	GENTADEXA [6118010019890]
6118001250332	GIROFLOX	CIPROFLOXACINE	200 MG	CIPROFLOXACINE GT [6118001270385] | CIPROFLOXACINE MYLAN 200 MG/100 ML [6118001021161] | CIPROXINE [6118001090136] | GIROFLOX [6118010020001] | MEGAFLOX IV [6118001250899] | SPECTRUM [6118001101412] | SPECTRUM [6118010000959]
6118001250349	INALER	SALBUTAMOL	100 µG	BULMOL [6118001000258] | BUTAMYL [6118000190196] | BUTOVENT [6118000241188] | DILATOR [6118001100712] | DILATOR ECOSPRAY [6118001101474] | DILATOR ECOSPRAY [6118010000829] | INALER [6118010020049] | MAGISTRAL [6118001184071] | MAGISTRAL [6118001220144] | VENTOLINE [6118001141258] | VITAIR [6118001110124]
6118001250370	MODINE	NIMODIPINE	10 MG	MODINE [6118010020148] | NIMOTOP [6118001090259]
6118001250387	NEVIPAN	NEVIRAPINE	200 MG	NEVIMUNE [6118001100804] | NEVIPAN [6118010020186]
6118001250394	OFTALMOTRIM	POLYMYXINE B / TRIMETHOPRIME	0.1 / 1000000 % / UI	
6118001250400	OFTALAR	PRANOPROFENE	0.1 %	OFTALAR [6118010020254]
6118001250417	OLICLINOMEL N4-550E	ACIDES AMINES / HUILES DOLIVE ET SOJA RAFFINES	NA / NA	OLICLINOMEL N4-550E [6118010020278] | OLICLINOMEL N6-900E [6118001250424] | OLICLINOMEL N6-900E [6118010020285] | OLICLINOMEL N7-1000E [6118001250431] | OLICLINOMEL N7-1000E [6118001250448] | OLICLINOMEL N7-1000E [6118010020292] | OLICLINOMEL N7-1000E [6118010020308]
6118001250424	OLICLINOMEL N6-900E	ACIDES AMINES / HUILES DOLIVE ET SOJA RAFFINES	NA / NA	OLICLINOMEL N4-550E [6118001250417] | OLICLINOMEL N4-550E [6118010020278] | OLICLINOMEL N6-900E [6118010020285] | OLICLINOMEL N7-1000E [6118001250431] | OLICLINOMEL N7-1000E [6118001250448] | OLICLINOMEL N7-1000E [6118010020292] | OLICLINOMEL N7-1000E [6118010020308]
6118001250431	OLICLINOMEL N7-1000E	ACIDES AMINES / HUILES DOLIVE ET SOJA RAFFINES	NA / NA	OLICLINOMEL N4-550E [6118001250417] | OLICLINOMEL N4-550E [6118010020278] | OLICLINOMEL N6-900E [6118001250424] | OLICLINOMEL N6-900E [6118010020285] | OLICLINOMEL N7-1000E [6118001250448] | OLICLINOMEL N7-1000E [6118010020292] | OLICLINOMEL N7-1000E [6118010020308]
