CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118001310012	STIMOL 1 G	CITRULINE MALEATE	1	G	POUDRE EFFERVESCENTE POUR SOLUTION BUVABLE	1 BOITE 18 SACHET DOSE	 82,90   
6118001071142	HUMALOG	INSULINE HUMAINE	100	UI	SOLUTION INJECTABLE	5 CARTOUCHE 3 ML	 499,00   
6118000150077	BEROCCA	MULTIVITAMINES ET MINERAUX		NA	COMPRIME EFFERVESCENT	1 BOITE 10 COMPRIME EFFERVESCENT	 39,00   
6118000020899	UMULINE NPH	INSULINE HUMAINE	100	UI	SUSPENSION INJECTABLE INTERMEDIAIRE	1 FLACON 10 ML	 166,00   
6118001160372	GARDASIL	VACCIN QUADRIVALENT CONTRE LE VIRUS HPV SEROTYPES 6,11,16 et 18		NA	SUSPENSION INJECTABLE	1 BOITE 10 FLACON	 7 999,00   
6118000230069	ALGIXENE	NAPROXENE	250	MG	GELULE	1 BOITE 30 GELULE	 47,90   
6118001110063	HUMEX (FOURNIER) TAMPON	LEVOMENTHOL / CAMPHRE RACEMIQUE	42.11 / 42.11	G / G	TAMPON POUR INHALATION	1 BOITE 1 TAMPON	 19,00   
6118001030873	MYFORTIC 180 MG	ACIDE MYCOPHENOLIQUE	180	MG	COMPRIME PELLICULE GASTRO-RESISTANT	1 BOITE 120 COMPRIME PELLICULE GASTRO-RESISTANT	 -     
6118001070022	ACTICARBINE	CHARBON ACTIVE / PAPAVERINE	70 / 14	MG / MG	COMPRIME ENROBE	1 BOITE 42 COMPRIME	 24,50   
6118010000089	CETIRAL	CETIRIZINE	1	MG	SOLUTION BUVABLE	1 FLACON 60 ML	 30,00   
6118000071402	CETIRAL	CETIRIZINE	1	MG	SOLUTION BUVABLE	1 FLACON 60 ML	 30,00   
6118001300136	DOPEZIL RANBAXY	DONEPEZIL	10	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME PELLICULE	 506,00   
6118010024818	NORMACIDE	RANITIDINE	150	MG	COMPRIME	1 BOITE 20 COMPRIME	 81,50   
6118000091301	NORMACIDE	RANITIDINE	150	MG	COMPRIME	1 BOITE 20 COMPRIME	 81,50   
6118000030102	AXIMYCINE	AMOXICILLINE	1	G	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 15,10   
6118010120763	LETROZOLE GT	LETROZOLE	2.5	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME SECABLE	 713,00   
6118001270675	LETROZOLE GT	LETROZOLE	2.5	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME SECABLE	 713,00   
6118000131069	CEZIN	CETIRIZINE	10	MG	COMPRIME	1 BOITE 28 COMPRIME	 38,00   
6118001182640	AMIKLIN	AMIKACINE	250	MG	POUDRE POUR SOLUTION INJECTABLE	1 FLACON 250 ML	 103,80   
6118000081555	GENTAMEN 120	GENTAMICINE	120	MG	SOLUTION INJECTABLE	1 BOITE 1 AMPOULE INJECTABLE	 17,00   
6118001030446	CIBACALCINE	CALCITONINE HUMAINE	0.25	µG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 5 AMPOULE	 250,50   
6118010023965	CLAVAM	AMOXICILLINE / ACIDE CLAVULANIQUE	1 / 125	G / MG	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 12 SACHET	 120,00   
6118000310594	NEOCLAV	AMOXICILLINE / ACIDE CLAVULANIQUE	1 / 125	G / MG	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 16 SACHET	 116,00   
6118000030317	GRISEO	GRISEOFULVINE	125	MG	COMPRIME	1 BOITE 30 COMPRIME	 25,80   
6118000022312	OCET 200MG	OFLOXACINE	200	MG	COMPRIME ENROBE	1 BOITE 10 COMPRIME ENROBE	 58,90   
6118010035401	ORACEFAL	CEFADROXIL	500	MG	GELULE	1 BOITE 12 GELULE	 95,20   
6118000180555	TROPHIRES COMPOSE ENFANTS	HUILE ESSENTIELLE DEUCALYPTUS / PARACETAMOL	75 / 300	MG / MG	SUPPOSITOIRE	1 BOITE 8 SUPPOSITOIRE	 11,50   
6118001100415	ESMERON	ROCURONIUM	50	MG	SOLUTION INJECTABLE	1 BOITE 12 AMPOULE INJECTABLE	 997,40   
6118000160533	CLAVULIN	AMOXICILLINE / ACIDE CLAVULANIQUE	500 / 125	MG / MG	COMPRIME PELLICULE	1 BOITE 12 COMPRIME	 147,90   
6118000020868	FIXICAL D3	CALCIUM / COLECALCIFEROL (VITAMINE D3)	500 / 400	MG / UI	COMPRIME A CROQUER	1 BOITE 30 COMPRIME	 42,20   
6118001182718	PARAPLATINE	CARBOPLATINE	150	MG	SOLUTION POUR PERFUSION	1 FLACON 15 ML	 1 871,00   
6118000050995	NO-DEP	SERTRALINE	50	MG	COMPRIME SECABLE	1 BOITE 60 COMPRIME	 201,00   
6118000012733	LUDIOMIL	MAPROTILINE	75	MG	DRAGEE	1 BOITE 20 DRAGEE	 81,30   
6118001271191	FOSTIMON 150 UI/ML	UROFOLLITROPINE	150	UI	POUDRE ET SOLVANT POUR SOLUTION INJECTABLE	5 SERINGUE PREREMPLIE 1 ML	 1 434,00   
6118000241737	BACTOX	AMOXICILLINE	1	G	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 17,50   
6118001170562	ARTOTEC	DICLOFENAC / MISOPROSTOL	75 / 0.2	MG / MG	COMPRIME GASTRO-RESISTANT	1 BOITE 20 COMPRIME	 90,00   
6118001020454	DEXAMETHASONE MYLAN	DEXAMETHASONE	4	MG	SOLUTION INJECTABLE	1 BOITE 20 AMPOULE INJECTABLE	 182,40   
6118001181582	LEDERTREXATE	METHOTREXATE	1	G	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 492,50   
6118010118371	SODRIX 2.5MG	INDAPAMIDE	2.5	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME PELLICULE	 36,00   
6118000180760	SODRIX 2.5MG	INDAPAMIDE	2.5	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME PELLICULE	 36,00   
6118001081592	TRIATEC PROTECT	RAMIPRIL	10	MG	COMPRIME SECABLE	1 BOITE 15 COMPRIME	 112,00   
6118000032281	OPTICILLINE	AMPICILLINE	500	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 48,50   
6118001270064	CATARSTAT	PYRIDOXINE (VITAMINE B6) / ACIDE L GLUTAMIQUE	2 / 38	MG / MG	COLLYRE	1 FLACON 10 ML	 35,90   
6118001100798	LANSOYL GEL	PARAFFINE LIQUIDE	78	G	GEL ORAL	1 POT 225 G	 40,70   
6118010024825	NORMACIDE	RANITIDINE	300	MG	COMPRIME	1 BOITE 20 COMPRIME	 122,40   
6118000091318	NORMACIDE	RANITIDINE	300	MG	COMPRIME	1 BOITE 20 COMPRIME	 122,40   
6118001141449	ZINNAT	CEFUROXIME	250	MG	COMPRIME PELLICULE	1 BOITE 10 COMPRIME	 195,20   
6118000031642	LIDOCAINE 2% LAPROPHAN ADRENALINE	ADRENALINE / LIDOCAINE	0.125 / 2	% / %	SOLUTION INJECTABLE	1 AMPOULE 10 ML	 9,90   
6118001081226	MONO-TILDIEM LP	DILTIAZEM	200	MG	GELULE LP	1 BOITE 28 GELULE	 181,40   
6118001180332	MONO-TILDIEM LP	DILTIAZEM	200	MG	GELULE LP	1 BOITE 28 GELULE	 181,40   
6118010120367	SEBIVO 600 MG	TELBIVUDINE	600	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME PELLICULE	 -     
6118001030842	SEBIVO 600 MG	TELBIVUDINE	600	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME PELLICULE	 -     
6118000020936	BACICOLINE	BACITRACINE / COLISTIMETHATE	25000000 / 1	UI / G	POUDRE ET SOLVANT POUR COLLYRE	1 BOITE 1 FLACON	 35,00   
6118010025419	STREPTOCID	AMOXICILLINE	250	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 100 ML	 32,00   
6118000090847	STREPTOCID	AMOXICILLINE	250	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 100 ML	 32,00   
6118001080038	LANZOR	LANSOPRAZOLE	30	MG	GELULE GASTRO-RESISTANTE	1 BOITE 15 GELULE	 171,20   
6118001081318	XATRAL LP	ALFUZOSINE	5	MG	COMPRIME ENROBE LP	1 BOITE 56 COMPRIME	 454,40   
6118000041306	ANGLOR	AMLODIPINE	10	MG	COMPRIME	1 BOITE 28 COMPRIME	 77,40   
6118000030782	ZADITEN	KETOTIFENE	1	MG	SOLUTION BUVABLE	1 FLACON 150 ML	 67,70   
6118010024566	LACTEOL FORT	LACTOBACILLUS ACIDOPHILLUS	10000	MUI	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 20 SACHET	 37,50   
6118000220145	SINTROM	ACENOCOUMAROL	4	MG	COMPRIME QUADRISECABLE	1 BOITE 10 COMPRIME SECABLE	 17,90   
6118001200337	ULTRAVIST	IOPROMIDE	300	MG	SOLUTION INJECTABLE	1 FLACON 20 ML	 108,20   
6118000230229	TMS 500 MG	CIPROFLOXACINE	500	MG	COMPRIME PELLICULE	1 BOITE 2 COMPRIME	 40,00   
6118001184163	REVLIMID 10 MG	LENALIDOMIDE	10	MG	GELULE	1 BOITE 21 GELULE	 -     
6118001120437	DOSTINEX	CABERGOLINE	0.5	MG	COMPRIME	1 BOITE 2 COMPRIME	 156,60   
6118010116384	ONIFINE	TERBINAFINE	250	MG	COMPRIME	1 BOITE 28 COMPRIME	 237,00   
6118001151035	ONIFINE	TERBINAFINE	250	MG	COMPRIME	1 BOITE 28 COMPRIME	 237,00   
6118000100188	TRIVASTAL	PIRIBEDIL	20	MG	COMPRIME ENROBE	1 BOITE 30 COMPRIME	 23,50   
6118000240518	NEO-CODION ADULTES	CODEINE	0.1722	%	SIROP	1 FLACON 150 ML	 17,60   
6118000081531	AMEP 10	AMLODIPINE	10	MG	COMPRIME	1 BOITE 14 COMPRIME	 54,80   
6118010000232	GLIDIABET	GLIBENCLAMIDE	5	MG	COMPRIME SECABLE	1 BOITE 60 COMPRIME	 45,50   
6118001310043	ACUPAN	NEFOPAM	20	MG	SOLUTION INJECTABLE	5 AMPOULE 2 ML	 52,40   
6118001120383	NOVORAPID PENFILL	INSULINE HUMAINE	100	UI	SOLUTION INJECTABLE	5 CARTOUCHE 3 ML	 517,00   
6118001183883	ESTRAPATCH 80 µG/24 HEURES	ESTRADIOL	2.50	MG	DISPOSITIF TRANSDERMIQUE	1 BOITE 4 PATCH	 95,50   
6118010000645	CRESTOR	ROSUVASTATINE	10	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 260,00   
6118001183111	CRESTOR	ROSUVASTATINE	10	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 260,00   
6118001120871	VISKEN	PINDOLOL	5	MG	COMPRIME	1 BOITE 50 COMPRIME	 56,10   
6118000021506	AZILIDE 200 MG/ 5 ML	AZITHROMYCINE	200	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 30 ML	 69,00   
6118001120062	HOLOXAN	IFOSFAMIDE	2	G	POUDRE POUR PERFUSION	1 BOITE 1 FLACON	 826,00   
6118001090280	CARDIOASPIRINE	ACIDE ACETYLSALICYLIQUE	100	MG	COMPRIME GASTRO-RESISTANT	1 BOITE 30 COMPRIME	 31,60   
6118010118135	CEZIN	CETIRIZINE	10	MG	COMPRIME	1 BOITE 7 COMPRIME	 11,00   
6118000131076	CEZIN	CETIRIZINE	10	MG	COMPRIME	1 BOITE 7 COMPRIME	 11,00   
6118000190974	RANITIL	RANITIDINE	150	MG	COMPRIME EFFERVESCENT	1 BOITE 20 COMPRIME	 81,00   
6118000340140	INIKAL 10 MG	AMLODIPINE	10	MG	COMPRIME	1 BOITE 30 COMPRIME	 76,00   
6118001181285	HEXABRIX	IOXAGLATE DE SODIUM ET DE MEGLUMINE	160	MG	SOLUTION INJECTABLE	1 FLACON 100 ML	 385,40   
6118001170708	LYRICA	PREGABALIN	200	MG	GELULE	1 BOITE 84 GELULE	 1 000,00   
6118010120978	FACTIVE 320 MG	MESYLATE DE GEMIFLOXACINE	426.40	MG	COMPRIME PELLICULE	1 BOITE 5 COMPRIME PELLICULE	 213,50   
6118000160809	PENAMOX	AMOXICILLINE	500	MG	COMPRIME DISPERSIBLE	1 BOITE 12 COMPRIME	 34,60   
6118010023767	BUCOPEN	PHENOXYMETHYLPENICILLINE	1	MUI	COMPRIME PELLICULE	1 BOITE 12 COMPRIME	 29,00   
6118000092193	BUCOPEN	PHENOXYMETHYLPENICILLINE	1	MUI	COMPRIME PELLICULE	1 BOITE 12 COMPRIME	 29,00   
6118000100096	DUXIL	ALMITRINE / RAUBASINE	30 / 10	MG / MG	COMPRIME ENROBE	1 BOITE 30 COMPRIME	 121,60   
6118001020898	HYTACAND	CANDESARTAN / HYDROCHLOROTHIAZIDE	16 / 12.5	MG / MG	COMPRIME	1 BOITE 28 COMPRIME	 241,00   
6118010035227	VACCIN BCG SSI	LA TUBERCULOSE [BCG]		NA	POUDRE POUR SUSPENSION INJECTABLE	1 BOITE 1 FLACON	 65,50   
6118001141180	TRITANRIX HB	VACCIN D.T.COQ.HEPATITE B		NA	PREPARATION INJECTABLE	1 BOITE 1 FLACON	 122,80   
6118000090878	STREPTOCID	AMOXICILLINE	500	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 32,50   
6118010025686	TRIMEDAT	TRIMEBUTINE	150	MG	GELULE	1 BOITE 30 GELULE	 74,40   
6118001031092	GALVUS MET 50MG/1000MG	VILDAGLIPTINE / METFORMINE	50 / 1000	MG / MG	COMPRIME PELLICULE	1 BOITE 60 COMPRIME PELLICULE	 392,00   
6118001230051	URO 3000 CHLORURE DE SODIUM AGUETTANT	CHLORURE DE SODIUM	0.9	G	SOLUTION POUR IRRIGATION	1 POCHE 3 L	 105,00   
6118010032646	EAU P.P.I.	EAU POUR PREPARATION INJECTABLE	10	ML	SOLVANT POUR PEPARATION INJECTABLE	1 BOITE 10 AMPOULE INJECTABLE	 26,70   
6118000280040	HUMEX NASAL	CHLORURE DE BENZALKONIUM	0.04	%	SOLUTION POUR PULVERISATION NASALE	1 FLACON 15 ML	 20,40   
6118001020836	METHYLPREDNISOLONE MYLAN	METHYLPREDNISOLONE	40	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 22,00   
6118000160052	AMOXIL	AMOXICILLINE	125	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 100 ML	 25,40   
6118000241263	MYNAZOL	FLUCONAZOLE	150	MG	GELULE	1 BOITE 1 GELULE	 24,00   
6118000020127	ANTARENE	IBUPROFENE	200	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 23,50   
6118000180326	DIASTER	CORTIVAZOL	0.4	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME	 34,70   
6118001101788	DETENSIEL	BISOPROLOL	10	MG	COMPRIME PELLICULE SECABLE	1 BOITE 30 COMPRIME PELLICULE SECABLE	 72,00   
6118000120544	DIANE 35	CYPROTERONE / ETHINYLESTRADIOL	2 / 35	MG / µG	COMPRIME ENROBE	1 BOITE 21 COMPRIME	 52,10   
6118001183975	STIMOL 1 G	CITRULINE MALEATE	1	G	POUDRE EFFERVESCENTE POUR SOLUTION BUVABLE	1 BOITE 18 SACHET DOSE	 82,90   
6118000022022	ODIA	GLIMEPIRIDE	1	MG	COMPRIME	1 BOITE 60 COMPRIME	 73,00   
6118000040262	DOLIPRANE	PARACETAMOL	200	MG	POUDRE POUR SOLUTION BUVABLE	1 BOITE 12 SACHET	 11,20   
6118010120381	STALEVO 50/12.5/200 MG	ENTACAPONE / LEVODOPA / CARBIDOPA	200 / 50 / 13.50	MG / MG / MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME PELLICULE	 404,10   
6118001030699	STALEVO 50/12.5/200 MG	ENTACAPONE / LEVODOPA / CARBIDOPA	200 / 50 / 13.50	MG / MG / MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME PELLICULE	 404,10   
6118001220205	HIBOR 2500 UI ANTI XA	BEMIPARINE	2500	UI	SOLUTION INJECTABLE	1 BOITE 30 SERINGUE PREREMPLIE	 671,00   
6118000310150	NAPROXENE PHARMA	NAPROXENE	275	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 6 FLACON	 32,60   
6118001000340	ZAREX	CARBOPLATINE	150	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 968,00   
6118000081258	TRIAXON 1G I.M.	CEFTRIAXONE	1	G	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 114,30   
6118001250554	MEGAFLOX IV	CIPROFLOXACINE	400	MG	SOLUTION POUR PERFUSION	1 FLACON 200 ML	 271,00   
6118001150540	RETISOL-A	TRETINOINE	0.025	%	CREME	1 TUBE 25 G	 96,80   
6118001181988	PHARMATEX	BENZALKONIUM	54	MG	CREME VAGINALE	1 BOITE 6 TUBE	 73,80   
6118001270941	FACTIVE 320 MG	MESYLATE DE GEMIFLOXACINE	426.40	MG	COMPRIME PELLICULE	1 BOITE 5 COMPRIME PELLICULE	 213,50   
6118000061472	THIOBACTIN	THIAMPHENICOL	250	MG	COMPRIME	1 BOITE 16 COMPRIME	 31,30   
6118001170425	GENOTROPIN	SOMATROPINE	16	UI	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 CARTOUCHE	 1 212,00   
6118000032632	OXIFLOR	OFLOXACINE	200	MG	COMPRIME PELLICULE	1 BOITE 20 COMPRIME	 112,00   
6118000012887	SILDENAFIL WIN 50 MG	SILDENAFIL	50	MG	COMPRIME PELLICULE	1 BOITE 4 COMPRIME PELLICULE	 88,50   
6118010013379	PROGOR	DILTIAZEM	180	MG	GELULE LP	1 BOITE 28 GELULE	 122,00   
6118000020691	AGYRAX	MECLOZINE	25	MG	COMPRIME	1 BOITE 30 COMPRIME	 25,00   
6118000070627	MEGAFLOX IST	CIPROFLOXACINE	500	MG	COMPRIME PELLICULE	1 BOITE 2 COMPRIME	 38,00   
6118000091240	FURAZIDE	NITROFURANTOINE	50	MG	COMPRIME	1 BOITE 21 COMPRIME	 17,30   
6118000160205	AUGMENTIN	AMOXICILLINE / ACIDE CLAVULANIQUE	100 / 12.5	MG / MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 70,60   
6118000010937	LIPANTHYL	FENOFIBRATE	100	MG	GELULE	1 BOITE 48 GELULE	 43,75   
6118001141104	SERETIDE	FLUTICASONE / SALMETEROL	250 / 50	µG / µG	POUDRE POUR INHALATION	1 DISTRIBUTEUR 60 DOSE	 248,00   
6118001021024	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN	AMOXICILLINE / ACIDE CLAVULANIQUE	500 / 50	MG / MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 10 FLACON	 160,00   
6118000080763	ATHYMIL	MIANSERINE	30	MG	COMPRIME ENROBE	1 BOITE 20 COMPRIME	 98,30   
6118001121113	FUNGIZONE	AMPHOTERICINE B	3	%	LOTION	1 FLACON 30 ML	 18,00   
6118001141364	ZENTEL	ALBENDAZOLE	400	MG	COMPRIME	1 BOITE 1 COMPRIME	 37,30   
6118000031147	AXIMYCINE	AMOXICILLINE	500	MG	COMPRIME DISPERSIBLE	1 BOITE 24 COMPRIME DISPERSIBLE	 65,40   
6118001101146	LODOZ	BISOPROLOL / HYDROCHLOROTHIAZIDE	10 / 6.25	MG / MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 76,00   
6118001200917	ALPERIDE 200 MG	AMISULPRIDE	200	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME SECABLE	 204,00   
6118000061182	DITROPAN	OXYBUTININE	5	MG	COMPRIME SECABLE	1 BOITE 60 COMPRIME	 76,85   
6118000010456	DITROPAN	OXYBUTININE	5	MG	COMPRIME SECABLE	1 BOITE 60 COMPRIME	 76,85   
6118000080022	BRUFEN	IBUPROFENE	500	MG	SUPPOSITOIRE	1 BOITE 12 SUPPOSITOIRE	 23,90   
6118001120024	ENDOXAN 50 MG	CYCLOPHOSPHAMIDE	50	MG	COMPRIME ENROBE	1 BOITE 50 COMPRIME ENROBE	 87,20   
6118000081081	VOGALENE	METOPIMAZINE	10	MG	SOLUTION INJECTABLE	1 BOITE 5 AMPOULE INJECTABLE	 15,60   
6118001070237	EMADINE	EMEDASTINE	0.05	%	COLLYRE	1 FLACON 5 ML	 100,00   
6118000140689	LACINE	LOSARTAN	50	MG	COMPRIME ENROBE SECABLE	1 BOITE 30 COMPRIME	 159,90   
6118010126178	METHOTREXATE BIODIM	METHOTREXATE	5	MG	SOLUTION INJECTABLE	1 FLACON 2 ML	 30,70   
6118001182107	RAPIFEN (H)	ALFENTANIL	1	MG	SOLUTION INJECTABLE	1 BOITE 5 AMPOULE	 -     
6118001140046	AUGMENTIN	AMOXICILLINE / ACIDE CLAVULANIQUE	1 / 200	G / MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 47,80   
6118000020639	STARPEN	PHENOXYMETHYLPENICILLINE BENZATHINE	1	MUI	COMPRIME PELLICULE	1 BOITE 12 COMPRIME	 34,10   
6118010019326	AVOSTAV	STAVUDINE	30	MG	GELULE	1 BOITE 60 GELULE	 337,00   
6118001250097	AVOSTAV	STAVUDINE	30	MG	GELULE	1 BOITE 60 GELULE	 337,00   
6118000160571	CUTIVATE	FLUTICASONE	50	MG	CREME	1 TUBE 15 G	 24,50   
6118000070405	FLOXIL	FLUCLOXACILLINE	500	MG	GELULE	1 BOITE 16 GELULE	 79,30   
6118000190493	HEXAPNEUMINE AD	BICLOTYMOL		NA	SUPPOSITOIRE	1 BOITE 6 SUPPOSITOIRE	 17,85   
6118001050284	NEOTIGASON	ACITRETINE	10	MG	GELULE	1 BOITE 30 GELULE	 342,20   
6118001110049	FLUORO URACILE ICN	FLUOROURACIL	250	MG	SOLUTION POUR PERFUSION	1 BOITE 12 VIALS	 257,00   
6118010125393	TIAFLAM 200MG	ACIDE TIAPROFENIQUE	200	MG	COMPRIME	1 BOITE 10 COMPRIME	 20,20   
6118001200122	MONEVA	GESTODENE / ETHINYLESTRADIOL	0.075 / 0.03	MG / MG	COMPRIME ENROBE	1 BOITE 21 COMPRIME ENROBE	 62,90   
6118000190486	HEXAPNEUMINE NR	BICLOTYMOL		NA	SIROP	1 FLACON 100 ML	 16,55   
6118001110513	DELTAZINE ADRENALINE	ARTICAINE	72	MG	SOLUTION INJECTABLE	1 BOITE 50 CARTOUCHE	 205,00   
6118001120345	NOVONORM	REPAGLINIDE	2	MG	COMPRIME	1 BOITE 30 COMPRIME	 57,60   
6118001180677	COLPOSEPTINE	CHLORQUINALDOL / PROMESTRIENE	200 / 10	MG / MG	COMPRIME GYNECOLOGIQUE	1 BOITE 18 COMPRIME GYNECOLOGIQUE	 47,20   
6118001080588	OFLOCET	OFLOXACINE	200	MG	SOLUTION POUR PERFUSION	1 FLACON 40 ML	 285,00   
6118001183630	OFLOCET	OFLOXACINE	200	MG	SOLUTION POUR PERFUSION	1 FLACON 40 ML	 285,00   
6118000080121	TRISIUM	SULFAMETHOXAZOLE / TRIMETHOPRIME / BROMHEXINE	4 / 800 / 4	G / MG / MG	SUSPENSION BUVABLE	1 FLACON 120 ML	 29,50   
6118010023941	CLAVAM	AMOXICILLINE / ACIDE CLAVULANIQUE	250 / 62.5	MG / MG	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 12 SACHET	 63,25   
6118000091172	CLAVAM	AMOXICILLINE / ACIDE CLAVULANIQUE	250 / 62.5	MG / MG	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 12 SACHET	 63,25   
6118000241126	ADRENALINE 1 MG	EPINEPHRINE	1	MG	SOLUTION INJECTABLE	1 BOITE 10 AMPOULE INJECTABLE	 21,20   
6118001100811	TRIOMUNE 30	STAVUDINE / LAMIVUDINE	30 / 150	MG / MG	COMPRIME	1 BOITE 30 COMPRIME	 75,60   
6118001101290	SAFLU	FLUTICASONE / SALMETEROL	250 / 25	µG / µG	SUSPENSION POUR INHALATION	1 FLACON 120 DOSE	 195,00   
6118000091042	ALFAMOX	AMOXICILLINE	1	G	COMPRIME	1 BOITE 12 COMPRIME	 53,50   
6118000021308	ISONE	PREDNISONE	1	MG	COMPRIME	1 BOITE 30 COMPRIME	 12,30   
6118000081609	DOLMAX F.T. 500	PARACETAMOL	500	MG	COMPRIME ORODISPERSIBLE	1 BOITE 12 COMPRIME ORODISPERSIBLE	 16,00   
6118001040117	DIGOXINE NATIVELLE	DIGOXINE	0.25	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME SECABLE	 25,00   
6118000010913	ISOPRINOSINE	INOSINE ACEDOBENE DIMEPRANOL	500	MG	COMPRIME SECABLE	1 BOITE 8 COMPRIME	 52,50   
6118000020707	APHILAN	BUCLIZINE	25	MG	COMPRIME SECABLE	1 BOITE 20 COMPRIME	 14,90   
6118001150083	CELESTENE	BETAMETHASONE	4	MG	SOLUTION INJECTABLE	1 BOITE 3 AMPOULE INJECTABLE	 49,00   
6118000240235	CALCIDIA	CALCIUM	1540	MG	GRANULE POUR SUSPENSION BUVABLE	1 BOITE 20 SACHET	 61,60   
6118000140917	NOVOCLIN 1G/125MG	AMOXICILLINE / ACIDE CLAVULANIQUE	1 / 125	G / MG	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 24 SACHET	 188,00   
6118001200184	PHAEVA	GESTODENE / ETHINYLESTRADIOL	0.05 / 0.03	MG / MG	COMPRIME ENROBE	1 BOITE 28 COMPRIME ENROBE	 75,40   
6118000190318	CODETUX ENF	CODEINE	90	%	SIROP	1 FLACON 125 ML	 13,35   
6118001021468	EPIRUBICINE MYLAN 2 MG/ML	EPIRUBICINE	10 / 5	MG/ML	SOLUTION POUR PERFUSION	1 BOITE 1 FLACON	 74,40   
6118000160663	FLOXAPEN	FLUCLOXACILLINE	125	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 100 ML	 36,70   
6118001020393	MIDAZOLAM MYLAN	MIDAZOLAM	5	MG	SOLUTION INJECTABLE	1 BOITE 10 FLACON 1 ML	 -     
6118000070276	CATEX	CIPROFLOXACINE	500	MG	COMPRIME PELLICULE	1 BOITE 10 COMPRIME	 150,00   
6118000090755	RINIAZIDE	RIFAMPICINE / ISONIAZIDE	300 / 150	MG / MG	GELULE	1 BOITE 100 GELULE	 305,50   
6118000250043	CARDURA	DOXAZOSINE	2	MG	COMPRIME	1 BOITE 20 COMPRIME	 200,20   
6118010116223	TAHOR	ATORVASTATINE	80	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME	 313,00   
6118001170807	TAHOR	ATORVASTATINE	80	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME	 313,00   
6118000070221	BIOMOX	AMOXICILLINE	250	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 23,40   
6118010000652	CRESTOR	ROSUVASTATINE	20	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 453,00   
6118001183128	CRESTOR	ROSUVASTATINE	20	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 453,00   
6118001130115	VALDOXAN 25 MG	AGOMELATINE	25	MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME PELLICULE	 499,00   
6118010117725	AVANDAMET	ROSIGLITAZONE / METFORMINE	4 / 1000	MG / MG	COMPRIME PELLICULE	1 BOITE 28 COMPRIME PELLICULE	 210,00   
