CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118001070688	XANTHIUM LP	THEOPHYLLINE	300	MG	GELULE LP	1 BOITE 60 GELULE	 51,50   	 32,20   	 51,50   	G	70%
6118000050414	AIRLIX	CETIRIZINE	1	MG	SOLUTION BUVABLE	1 FLACON 60 ML	 31,90   	 19,90   	 31,90   	G	70%
6118000120384	GYNOMYK	BUTOCONAZOLE	100	MG	OVULE	1 BOITE 3 OVULE	 62,20   	 41,10   	 62,20   	P	0%
6118001050642	AVASTIN	BEVACIZUMAB	100	MG	SOLUTION A DILUER POUR PERFUSION	1 BOITE 1 FLACON	 3 983,00   	 3 689,00   	 3 983,00   	P	70%
6118001230358	FLUMAX 6000 UI ANTI-XA/0.6ML	ENOXAPARINE	6000	UI ANTI-XA	SOLUTION INJECTABLE	1 BOITE 2 SERINGUE PREREMPLIE	 134,60   	 84,10   	 134,60   	G	70%
6118001182725	PARAPLATINE	CARBOPLATINE	50	MG	SOLUTION POUR PERFUSION	1 FLACON 5 ML	 835,30   	 552,50   	 835,30   	P	70%
6118001110230	TRIFAX IV	CEFTRIAXONE	500	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 61,00   	 38,00   	 61,00   	G	70%
6118001121373	GLUCOVANCE	METFORMINE / GLIBENCLAMIDE	500 / 2.5	MG / MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME PELLICULE	 42,00   	 26,20   	 42,00   	P	70%
6118000032779	IXOR	OMEPRAZOLE	10	MG	COMPRIME EFFERVESCENT	1 BOITE 28 COMPRIME	 108,00   	 67,30   	 60,00   	P	70%
6118000060499	PENICILLINE G 1 M UI DIAMANT	BENZYLPENICILLINE	1	MUI	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 10,30   	 -     	 7,65   	P	70%
6118001180813	DIPRIVAN	PROPOFOL	500	MG	EMULSION INJECTABLE	1 BOITE 1 KIT	 314,90   	 208,30   	 314,90   	P	0%
6118001120697	NEORAL	CICLOSPORINE	100	MG	SOLUTION BUVABLE	1 FLACON 50 ML	 1 736,00   	 1 452,00   	 1 736,00   	P	70%
6118001070954	XANTHIUM LP	THEOPHYLLINE	200	MG	GELULE LP	1 BOITE 30 GELULE	 21,80   	 13,60   	 21,80   	G	70%
6118000140870	AGIDERM	ACIDE FUSIDIQUE	2	%	POMMADE	1 TUBE 15 G	 25,00   	 15,60   	 25,00   	G	70%
6118000170211	GYNO CANESTEN	CLOTRIMAZOLE	1	%	CREME VAGINALE	1 TUBE 35 G	 56,25   	 -     	 -     	P	70%
6118001090112	CIPRO LP 500 MG	CIPROFLOXACINE	500	MG	COMPRIME PELLICULE LP	1 BOITE 3 COMPRIME PELLICULE	 60,00   	 37,40   	 60,00   	P	70%
6118000210030	CIFLOXINE	CIPROFLOXACINE	500	MG	COMPRIME ENROBE GASTRO-RESISTANT	1 BOITE 10 COMPRIME ENROBE	 120,00   	 74,80   	 120,00   	G	70%
6118000070795	SUPRIMASE	FLUCONAZOLE	150	MG	GELULE	1 BOITE 1 GELULE	 29,90   	 18,60   	 29,90   	G	70%
6118000020141	MEDIVEINE	DIOSMINE	300	MG	COMPRIME PELLICULE	1 BOITE 60 COMPRIME	 62,40   	 -     	 62,40   	G	0%
6118001120758	PURSENNIDE	SENOSIDES CALCIQUES	20	MG	COMPRIME ENROBE	1 BOITE 20 COMPRIME ENROBE	 16,90   	 11,20   	 16,90   	P	0%
